mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
threshold,10,replay,4,75,1,1,-160.6397231221199
threshold,10,replay,4,75,2,25,-295.2607424259186
threshold,10,replay,4,75,3,50,-221.6643911600113
threshold,10,replay,4,75,4,75,-359.0627374649048
threshold,10,replay,5,100,1,1,-153.23051768541336
threshold,10,replay,5,100,2,25,-295.2607424259186
threshold,10,replay,5,100,3,50,-221.6643911600113
threshold,10,replay,5,100,4,75,-359.0627374649048
threshold,10,replay,5,100,5,100,-269.65599966049194
threshold,10,replay,6,125,1,1,-763.8934605121613
threshold,10,replay,6,125,2,25,-295.2607424259186
threshold,10,replay,6,125,3,50,-221.6643911600113
threshold,10,replay,6,125,4,75,-365.4599006175995
threshold,10,replay,6,125,5,100,-269.65599966049194
threshold,10,replay,6,125,6,125,-107.96211457252502
threshold,10,reactive,1,1,1,1,-512.2088867704073
threshold,10,reactive,2,25,1,1,-512.2088867704073
threshold,10,reactive,2,25,2,25,-421.0449046611784
threshold,10,reactive,3,50,1,1,-512.2088867704073
threshold,10,reactive,3,50,2,25,-421.0449046611784
threshold,10,reactive,3,50,3,50,-545.1814626355963
threshold,10,reactive,4,75,1,1,-512.2088867704073
threshold,10,reactive,4,75,2,25,-421.0449046611784
threshold,10,reactive,4,75,3,50,-545.1814626355963
threshold,10,reactive,4,75,4,75,-463.5113219380379
threshold,10,reactive,5,100,1,1,-512.2088867704073
threshold,10,reactive,5,100,2,25,-421.0449046611784
threshold,10,reactive,5,100,3,50,-545.1814626355963
threshold,10,reactive,5,100,4,75,-463.5113219380379
threshold,10,reactive,5,100,5,100,-471.68865617116285
threshold,10,reactive,6,125,1,1,-512.2088867704073
threshold,10,reactive,6,125,2,25,-421.0449046611784
threshold,10,reactive,6,125,3,50,-545.1814626355963
threshold,10,reactive,6,125,4,75,-463.5113219380379
threshold,10,reactive,6,125,5,100,-471.68865617116285
threshold,10,reactive,6,125,6,125,-301.14272646903976
threshold,11,naive,1,1,1,1,-763.8934605121613
threshold,11,naive,2,25,1,1,-763.8934605121613
threshold,11,naive,2,25,2,25,-295.2607424259186
threshold,11,naive,3,50,1,1,-763.8934605121613
threshold,11,naive,3,50,2,25,-295.2607424259186
threshold,11,naive,3,50,3,50,-499.3788338303566
threshold,11,naive,4,75,1,1,-568.4651845693588
threshold,11,naive,4,75,2,25,-295.2607424259186
threshold,11,naive,4,75,3,50,-494.4080372452736
threshold,11,naive,4,75,4,75,-365.4599006175995
threshold,11,naive,5,100,1,1,-471.71128046512604
threshold,11,naive,5,100,2,25,-295.2607424259186
threshold,11,naive,5,100,3,50,-314.615449488163
threshold,11,naive,5,100,4,75,-365.4599006175995
threshold,11,naive,5,100,5,100,-292.2541800737381
threshold,11,naive,6,125,1,1,-763.8934605121613
threshold,11,naive,6,125,2,25,-295.2607424259186
threshold,11,naive,6,125,3,50,-494.4080372452736
threshold,11,naive,6,125,4,75,-365.4599006175995
threshold,11,naive,6,125,5,100,-383.5069237947464
threshold,11,naive,6,125,6,125,-107.96211457252502
threshold,11,replay,1,1,1,1,-763.8934605121613
threshold,11,replay,2,25,1,1,-763.8934605121613
threshold,11,replay,2,25,2,25,-295.2607424259186
threshold,11,replay,3,50,1,1,-391.66080272197723
threshold,11,replay,3,50,2,25,-295.2607424259186
threshold,11,replay,3,50,3,50,-494.4080372452736
threshold,11,replay,4,75,1,1,-316.71427631378174
