mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
convex,11,naive,6,125,2,25,-338.87352126836777
convex,11,naive,6,125,3,50,-547.7871016860008
convex,11,naive,6,125,4,75,-500.0702122449875
convex,11,naive,6,125,5,100,-372.09339106082916
convex,11,naive,6,125,6,125,-174.82069963216782
convex,11,replay,1,1,1,1,-284.8123354315758
convex,11,replay,2,25,1,1,-248.3741215467453
convex,11,replay,2,25,2,25,-338.87352126836777
convex,11,replay,3,50,1,1,-259.19546991586685
convex,11,replay,3,50,2,25,-338.87352126836777
convex,11,replay,3,50,3,50,-345.07870876789093
convex,11,replay,4,75,1,1,-226.20833736658096
convex,11,replay,4,75,2,25,-338.87352126836777
convex,11,replay,4,75,3,50,-340.32559418678284
convex,11,replay,4,75,4,75,-454.9441941976547
convex,11,replay,5,100,1,1,-227.02466350793839
convex,11,replay,5,100,2,25,-338.87352126836777
convex,11,replay,5,100,3,50,-345.07870876789093
convex,11,replay,5,100,4,75,-462.9963904619217
convex,11,replay,5,100,5,100,-391.0561873912811
convex,11,replay,6,125,1,1,-241.9789885878563
convex,11,replay,6,125,2,25,-347.7630412578583
convex,11,replay,6,125,3,50,-345.07870876789093
convex,11,replay,6,125,4,75,-474.2651754617691
convex,11,replay,6,125,5,100,-391.0561873912811
convex,11,replay,6,125,6,125,-173.3240876197815
convex,11,reactive,1,1,1,1,-552.9429635922113
convex,11,reactive,2,25,1,1,-552.9429635922113
convex,11,reactive,2,25,2,25,-523.9809528559447
convex,11,reactive,3,50,1,1,-552.9429635922113
convex,11,reactive,3,50,2,25,-523.9809528559447
convex,11,reactive,3,50,3,50,-518.1131430032352
convex,11,reactive,4,75,1,1,-552.9429635922113
convex,11,reactive,4,75,2,25,-523.9809528559447
convex,11,reactive,4,75,3,50,-518.1131430032352
convex,11,reactive,4,75,4,75,-558.9565045118336
convex,11,reactive,5,100,1,1,-552.9429635922113
convex,11,reactive,5,100,2,25,-523.9809528559447
convex,11,reactive,5,100,3,50,-518.1131430032352
convex,11,reactive,5,100,4,75,-558.9565045118336
convex,11,reactive,5,100,5,100,-550.881430483858
convex,11,reactive,6,125,1,1,-552.9429635922113
convex,11,reactive,6,125,2,25,-523.9809528559447
convex,11,reactive,6,125,3,50,-518.1131430032352
convex,11,reactive,6,125,4,75,-558.9565045118336
convex,11,reactive,6,125,5,100,-550.881430483858
convex,11,reactive,6,125,6,125,-348.3140161792436
