step,checkpoint,checkpoint_step,boundary_gap_filled,raw_demand,demand,capacity,task_count,capacity_per_task,slo_violation,reactive_task_count,reactive_capacity
86,25,15,False,0.8039380311965942,0.8039380311965942,1.0,1,1.0,False,2,2.0
87,25,16,False,0.8546440601348877,0.8546440601348877,1.0,1,1.0,False,2,2.0
88,25,17,False,0.8695130348205566,0.8695130348205566,1.0,1,1.0,False,2,2.0
89,25,18,False,0.8307324051856995,0.8307324051856995,1.0,1,1.0,False,2,2.0
90,25,19,False,1.0094096660614014,1.0094096660614014,1.0,1,1.0,True,2,2.0
91,25,20,False,0.9459192156791687,0.9459192156791687,1.0,1,1.0,False,2,2.0
92,25,21,False,0.8840243220329285,0.8840243220329285,1.0,1,1.0,False,2,2.0
93,25,22,False,0.9835075736045837,0.9835075736045837,1.0,1,1.0,False,2,2.0
94,25,23,False,0.7986689805984497,0.7986689805984497,1.0,1,1.0,False,2,2.0
95,25,24,False,0.8845933675765991,0.8845933675765991,1.0,1,1.0,False,2,2.0
96,25,25,False,0.8380202054977417,0.8380202054977417,1.0,1,1.0,False,2,2.0
97,25,26,False,0.855069637298584,0.855069637298584,1.0,1,1.0,False,2,2.0
98,25,27,False,0.8948593735694885,0.8948593735694885,1.0,1,1.0,False,2,2.0
99,25,28,False,0.8187130689620972,0.8187130689620972,1.0,1,1.0,False,2,2.0
100,25,29,False,0.8844953775405884,0.8844953775405884,1.0,1,1.0,False,2,2.0
101,25,30,False,0.8635256290435791,0.8635256290435791,1.0,1,1.0,False,2,2.0
102,25,31,False,0.8169239163398743,0.8169239163398743,1.0,1,1.0,False,2,2.0
103,25,32,False,0.9885696172714233,0.9885696172714233,1.0,1,1.0,False,2,2.0
104,25,33,False,0.9504269361495972,0.9504269361495972,1.0,1,1.0,False,2,2.0
105,25,34,False,0.8272187113761902,0.8272187113761902,1.0,1,1.0,False,2,2.0
106,25,35,False,1.0443503856658936,1.0443503856658936,1.0,1,1.0,True,2,2.0
107,25,36,False,0.991291344165802,0.991291344165802,1.0,1,1.0,False,2,2.0
108,25,37,False,0.8816564083099365,0.8816564083099365,1.0,1,1.0,False,2,2.0
109,25,38,False,0.9555586576461792,0.9555586576461792,1.0,1,1.0,False,2,2.0
110,25,39,False,0.9807530045509338,0.9807530045509338,1.0,1,1.0,False,2,2.0
111,25,40,False,0.9554975032806396,0.9554975032806396,1.0,1,1.0,False,2,2.0
112,25,41,False,0.8901125192642212,0.8901125192642212,1.0,1,1.0,False,2,2.0
113,25,42,False,0.8579175472259521,0.8579175472259521,1.0,1,1.0,False,2,2.0
114,25,43,False,0.8732432126998901,0.8732432126998901,1.0,1,1.0,False,2,2.0
115,25,44,False,0.9218864440917969,0.9218864440917969,1.0,1,1.0,False,2,2.0
116,25,45,False,0.8469904065132141,0.8469904065132141,1.0,1,1.0,False,2,2.0
117,25,46,False,0.8516436815261841,0.8516436815261841,1.0,1,1.0,False,2,2.0
118,25,47,False,0.8311362862586975,0.8311362862586975,1.0,1,1.0,False,2,2.0
119,25,48,False,0.9591385722160339,0.9591385722160339,1.0,1,1.0,False,2,2.0
120,25,49,False,0.8359741568565369,0.8359741568565369,1.0,1,1.0,False,2,2.0
121,25,50,False,0.8195471167564392,0.8195471167564392,1.0,1,1.0,False,2,2.0
122,25,51,False,0.7608273029327393,0.7608273029327393,1.0,1,1.0,False,2,2.0
123,25,52,False,0.806230366230011,0.806230366230011,1.0,1,1.0,False,2,2.0
124,25,53,False,0.9093255400657654,0.9093255400657654,1.0,1,1.0,False,2,2.0
125,25,54,False,0.9459828734397888,0.9459828734397888,1.0,1,1.0,False,2,2.0
126,25,55,False,0.7831760048866272,0.7831760048866272,1.0,1,1.0,False,2,2.0
127,25,56,False,0.8094366192817688,0.8094366192817688,1.0,1,1.0,False,2,2.0
128,25,57,False,0.887586772441864,0.887586772441864,1.0,1,1.0,False,2,2.0
129,25,58,False,0.8122480511665344,0.8122480511665344,1.0,1,1.0,False,2,2.0
130,25,59,False,0.8598353266716003,0.8598353266716003,1.0,1,1.0,False,2,2.0
131,25,60,False,0.9094316363334656,0.9094316363334656,1.0,1,1.0,False,2,2.0
132,25,61,False,0.8362343311309814,0.8362343311309814,1.0,1,1.0,False,2,2.0
133,25,62,False,1.1321592330932617,1.1321592330932617,1.0,1,1.0,True,2,2.0
134,25,63,False,0.9607385396957397,0.9607385396957397,1.0,1,1.0,False,2,2.0
135,25,64,False,0.8120989203453064,0.8120989203453064,1.0,1,1.0,False,2,2.0
136,25,65,False,0.8546208143234253,0.8546208143234253,1.0,1,1.0,False,2,2.0
137,25,66,False,0.8765358924865723,0.8765358924865723,1.0,1,1.0,False,2,2.0
138,25,67,False,0.8338549733161926,0.8338549733161926,1.0,1,1.0,False,2,2.0
139,25,68,False,0.9635884165763855,0.9635884165763855,1.0,1,1.0,False,2,2.0
140,25,69,False,0.8098253607749939,0.8098253607749939,1.0,1,1.0,False,2,2.0
141,50,0,False,0.22793413698673248,0.22793413698673248,1.0,1,1.0,False,2,2.0
142,50,1,False,1.160009503364563,1.160009503364563,1.0,1,1.0,True,2,2.0
143,50,2,False,1.0199121236801147,1.0199121236801147,1.0,1,1.0,True,2,2.0
144,50,3,False,1.1845366954803467,1.1845366954803467,1.0,1,1.0,True,2,2.0
145,50,4,False,1.0283945798873901,1.0283945798873901,1.0,1,1.0,True,2,2.0
146,50,5,False,1.0307135581970215,1.0307135581970215,1.0,1,1.0,True,2,2.0
147,50,6,False,1.0169092416763306,1.0169092416763306,2.0,2,1.0,False,2,2.0
148,50,7,False,1.100083351135254,1.100083351135254,2.0,2,1.0,False,2,2.0
149,50,8,False,1.209039330482483,1.209039330482483,2.0,2,1.0,False,2,2.0
150,50,9,False,1.0424377918243408,1.0424377918243408,2.0,2,1.0,False,2,2.0
151,50,10,False,1.0665433406829834,1.0665433406829834,2.0,2,1.0,False,2,2.0
152,50,11,False,1.1244118213653564,1.1244118213653564,2.0,2,1.0,False,2,2.0
153,50,12,False,1.0754972696304321,1.0754972696304321,2.0,2,1.0,False,2,2.0
154,50,13,False,1.0641825199127197,1.0641825199127197,2.0,2,1.0,False,2,2.0
155,50,14,False,1.2798678874969482,1.2798678874969482,2.0,2,1.0,False,2,2.0
156,50,15,False,1.0030146837234497,1.0030146837234497,2.0,2,1.0,False,2,2.0
157,50,16,False,1.08966863155365,1.08966863155365,2.0,2,1.0,False,2,2.0
158,50,17,False,0.9842528104782104,0.9842528104782104,2.0,2,1.0,False,2,2.0
159,50,18,False,1.019103765487671,1.019103765487671,1.0,1,1.0,True,2,2.0
160,50,19,False,1.1338293552398682,1.1338293552398682,1.0,1,1.0,True,2,2.0
161,50,20,False,1.100472092628479,1.100472092628479,1.0,1,1.0,True,2,2.0
162,50,21,False,1.0786255598068237,1.0786255598068237,2.0,2,1.0,False,2,2.0
163,50,22,False,1.1950743198394775,1.1950743198394775,2.0,2,1.0,False,2,2.0
164,50,23,False,1.198136806488037,1.198136806488037,2.0,2,1.0,False,2,2.0
165,50,24,False,1.0461887121200562,1.0461887121200562,2.0,2,1.0,False,2,2.0
166,50,25,False,1.0981965065002441,1.0981965065002441,2.0,2,1.0,False,2,2.0
167,50,26,False,1.33182692527771,1.33182692527771,2.0,2,1.0,False,2,2.0
168,50,27,False,1.6352821588516235,1.6352821588516235,2.0,2,1.0,False,4,4.0
169,50,28,False,1.6388001441955566,1.6388001441955566,2.0,2,1.0,False,4,4.0
170,50,29,False,1.631972312927246,1.631972312927246,2.0,2,1.0,False,4,4.0
171,50,30,False,1.4289735555648804,1.4289735555648804,2.0,2,1.0,False,4,4.0
172,50,31,False,1.1381628513336182,1.1381628513336182,2.0,2,1.0,False,4,4.0
173,50,32,False,1.3361972570419312,1.3361972570419312,2.0,2,1.0,False,4,4.0
174,50,33,False,1.4121607542037964,1.4121607542037964,2.0,2,1.0,False,4,4.0
175,50,34,False,1.3973864316940308,1.3973864316940308,2.0,2,1.0,False,4,4.0
176,50,35,False,1.1041722297668457,1.1041722297668457,2.0,2,1.0,False,4,4.0
177,50,36,False,1.110177993774414,1.110177993774414,2.0,2,1.0,False,4,4.0
178,50,37,False,1.0130469799041748,1.0130469799041748,2.0,2,1.0,False,4,4.0
179,50,38,False,1.105423092842102,1.105423092842102,2.0,2,1.0,False,4,4.0
180,50,39,False,1.164291501045227,1.164291501045227,2.0,2,1.0,False,4,4.0
181,50,40,False,1.185362458229065,1.185362458229065,2.0,2,1.0,False,3,3.0
182,50,41,False,0.8520303964614868,0.8520303964614868,1.0,1,1.0,False,3,3.0
183,50,42,False,0.8476725220680237,0.8476725220680237,1.0,1,1.0,False,3,3.0
184,50,43,False,0.8936640620231628,0.8936640620231628,1.0,1,1.0,False,3,3.0
185,50,44,False,1.2653371095657349,1.2653371095657349,1.0,1,1.0,True,3,3.0
186,50,45,False,1.1452927589416504,1.1452927589416504,1.0,1,1.0,True,3,3.0
187,50,46,False,0.9029218554496765,0.9029218554496765,1.0,1,1.0,False,3,3.0
188,50,47,False,1.2341057062149048,1.2341057062149048,2.0,2,1.0,False,3,3.0
189,50,48,False,1.4652554988861084,1.4652554988861084,2.0,2,1.0,False,3,3.0
190,50,49,False,1.4254497289657593,1.4254497289657593,2.0,2,1.0,False,3,3.0
191,50,50,False,1.0146572589874268,1.0146572589874268,2.0,2,1.0,False,3,3.0
192,50,51,False,0.8861681818962097,0.8861681818962097,2.0,2,1.0,False,3,3.0
193,50,52,False,0.915591299533844,0.915591299533844,2.0,2,1.0,False,3,3.0
194,50,53,False,0.8586710691452026,0.8586710691452026,2.0,2,1.0,False,3,3.0
195,50,54,False,0.8226768374443054,0.8226768374443054,2.0,2,1.0,False,3,3.0
196,50,55,False,0.8939591646194458,0.8939591646194458,2.0,2,1.0,False,3,3.0
197,50,56,False,0.8864086270332336,0.8864086270332336,2.0,2,1.0,False,3,3.0
198,50,57,False,0.9136462807655334,0.9136462807655334,2.0,2,1.0,False,3,3.0
199,50,58,False,0.9358236789703369,0.9358236789703369,2.0,2,1.0,False,3,3.0
200,50,59,False,0.8581344485282898,0.8581344485282898,2.0,2,1.0,False,3,3.0
201,50,60,False,0.8952715992927551,0.8952715992927551,2.0,2,1.0,False,3,3.0
202,50,61,False,0.869097888469696,0.869097888469696,2.0,2,1.0,False,3,3.0
203,50,62,False,0.8464910984039307,0.8464910984039307,2.0,2,1.0,False,3,3.0
204,50,63,False,2.011000156402588,2.011000156402588,2.0,2,1.0,True,3,3.0
205,50,64,False,2.1281466484069824,2.1281466484069824,2.0,2,1.0,True,5,5.0
206,50,65,False,2.693840742111206,2.693840742111206,3.0,3,1.0,False,5,5.0
207,50,66,False,2.4020588397979736,2.4020588397979736,3.0,3,1.0,False,5,5.0
208,50,67,False,2.507188320159912,2.507188320159912,4.0,4,1.0,False,5,5.0
209,50,68,False,2.4368205070495605,2.4368205070495605,4.0,4,1.0,False,5,5.0
