mapping,seed,method,train_stage,train_checkpoint,eval_task_stage,eval_task_checkpoint,reward
linear,11,reactive,2,25,1,1,-423.8431103388468
linear,11,reactive,2,25,2,25,-434.18704797029477
linear,11,reactive,3,50,1,1,-423.8431103388468
linear,11,reactive,3,50,2,25,-434.18704797029477
linear,11,reactive,3,50,3,50,-491.9237703184287
linear,11,reactive,4,75,1,1,-423.8431103388468
linear,11,reactive,4,75,2,25,-434.18704797029477
linear,11,reactive,4,75,3,50,-491.9237703184287
linear,11,reactive,4,75,4,75,-490.17961324453336
linear,11,reactive,5,100,1,1,-423.8431103388468
linear,11,reactive,5,100,2,25,-434.18704797029477
linear,11,reactive,5,100,3,50,-491.9237703184287
linear,11,reactive,5,100,4,75,-490.17961324453336
linear,11,reactive,5,100,5,100,-499.83730963468537
linear,11,reactive,6,125,1,1,-423.8431103388468
linear,11,reactive,6,125,2,25,-434.18704797029477
linear,11,reactive,6,125,3,50,-491.9237703184287
linear,11,reactive,6,125,4,75,-490.17961324453336
linear,11,reactive,6,125,5,100,-499.83730963468537
linear,11,reactive,6,125,6,125,-287.77653590838116
